name,population
Усть-Джегута,30758
Усть-Илимск,79746
Усть-Катав,21609
Усть-Кут,40281
Усть-Лабинск,38565
Устюжна,8284
Уфа,1125933
Ухта,92479
Учалы,38112
Уяр,11932
Фатеж,6135
Феодосияне призн.,67750
Фокино,12617
Фокино,22628
Фролово,35913
Фрязино,58938
Фурманов,32855
Хабаровск,610305
Хадыженск,22005
Ханты-Мансийск,103117
Харабали,17338
Харовск,8650
Хасавюрт,146394
Хвалынск,12143
Хилок,10320
Химки,257757
Холм,3344
Холмск,26672
Хотьково,21169
Цивильск,15049
Цимлянск,14406
Циолковский,7167
Чадан,9519
Чайковский,81855
Чапаевск,70944
Чаплыгин,11674
Чебаркуль,41516
Чебоксары,495810
Чегем,18542
Чекалин,866
Челябинск,1187960
Чердынь,4536
Черемхово,49933
Черепаново,18846
Череповец,312091
Черкесск,123148
Черноголовка,20638
Черногорск,75348
Чернушка,33308
Черняховск,35375
Чехов,71077
Чистополь,58771
Чита,350861
Чкаловск,11193
Чудово,13764
Чулым,10926
Чусовой,43299
Чухлома,4906
Чёрмоз,3215
Шагонар,11289
Шадринск,74400
Шали,56226
Шарыпово,36463
Шарья,23222
Шатура,31310
Шахты,228816
Шахунья,19591
Шацк,5796
Шебекино,40352
Шелехов,48317
Шенкурск,4608
Шилка,12339
Шимановск,18513
Шиханы,5230
Шлиссельбург,14851
Шумерля,28168
Шумиха,17141
Шуя,56041
Щигры,14711
Щучье,9346
Щёкино,56263
Щёлкиноне призн.,10078
Щёлково,127292
Электрогорск,22439
Электросталь,152607
Электроугли,20607
Элиста,103535
Энгельс,226143
Эртиль,9935
Югорск,38544
Южа,12011
Южно-Сахалинск,200235
Южно-Сухокумск,10803
Южноуральск,37484
Юрга,80367
Юрьев-Польский,17616
Юрьевец,7837
Юрюзань,10686
Юхнов,5726
Ядрин,8089
Якутск,330615
Ялтане призн.,78171
Ялуторовск,39947
Янаул,24805
Яранск,15279
Яровое,17939
Ярославль,601403
Ярцево,42385
Ясногорск,14984
Ясный,15092
Яхрома,13818
